time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,5,15,0.6942983738307293,3,0,0.0,0.0
4,0,4,5,20,0.609814809881446,4,0,0.0,0.0
5,0,5,0,20,0.5356113687822168,4,1,1.0,0.0
6,0,6,5,25,0.4704371453762037,5,1,0.0,0.0
7,0,7,0,25,0.4131934470563824,5,2,1.0,0.0
8,0,8,0,25,0.36291527224918735,5,3,2.0,0.0
9,0,9,5,30,0.3187550426319553,6,3,0.0,0.0
10,0,10,0,30,0.27996831484549684,6,4,1.0,0.0
11,0,11,0,30,0.2459012308330126,6,5,2.0,0.0
12,0,12,0,30,0.21597949524595342,6,6,3.0,0.0
13,0,13,0,30,0.18969869410037274,6,7,4.0,0.0
14,0,14,0,30,0.16661579147783018,6,8,5.0,0.0
15,0,15,0,30,0.14634166092411305,6,9,6.0,0.0
16,0,16,0,30,0.12853452564175263,6,10,7.0,0.0
17,0,17,0,30,0.11289419689255517,6,11,8.0,0.0
18,0,18,0,30,0.09915701348241447,6,12,9.0,0.0
21,-1,3,0,0,0.0,0,0,,
22,1,1,0,0,0.4,0,1,1.0,21.0
25,-1,3,0,0,0.0,0,0,,
26,0,1,5,5,0.9,1,0,0.0,25.0
27,0,2,5,10,0.7904862658184875,2,0,0.0,25.0
28,0,3,5,15,0.6942983738307293,3,0,0.0,25.0
29,0,4,0,15,0.609814809881446,3,1,1.0,25.0
30,0,5,5,20,0.5356113687822168,4,1,0.0,25.0
31,0,6,0,20,0.4704371453762037,4,2,1.0,25.0
32,0,7,0,20,0.4131934470563824,4,3,2.0,25.0
33,0,8,5,25,0.36291527224918735,5,3,0.0,25.0
34,0,9,0,25,0.3187550426319553,5,4,1.0,25.0
35,0,10,0,25,0.27996831484549684,5,5,2.0,25.0
36,0,11,0,25,0.2459012308330126,5,6,3.0,25.0
37,0,12,5,30,0.21597949524595342,6,6,0.0,25.0
38,0,13,0,30,0.18969869410037274,6,7,1.0,25.0
39,0,14,5,35,0.16661579147783018,7,7,0.0,25.0
40,0,15,0,35,0.14634166092411305,7,8,1.0,25.0
41,0,16,0,35,0.12853452564175263,7,9,2.0,25.0
42,0,17,0,35,0.11289419689255517,7,10,3.0,25.0
43,0,18,0,35,0.09915701348241447,7,11,4.0,25.0
44,0,19,0,35,0.08709139701936361,7,12,5.0,25.0
45,0,20,0,35,0.07649394801639119,7,13,6.0,25.0
46,0,21,0,35,0.06718601702798951,7,14,7.0,25.0
49,-1,3,0,0,0.0,0,0,,
